"Date","Price","Open","High","Low","Vol.","Change %"
"08/29/2017","50.25","50.25","50.25","50.25","0.15K","0.02%"
"08/28/2017","50.24","50.24","50.24","50.24","","-0.12%"
"08/25/2017","50.30","50.30","50.30","50.30","","0.18%"
"08/24/2017","50.21","50.21","50.21","50.21","","-0.30%"
"08/23/2017","50.36","50.36","50.36","50.36","","0.44%"
"08/22/2017","50.14","50.14","50.14","50.14","","0.10%"
"08/21/2017","50.09","50.09","50.09","50.09","","-0.71%"
"08/18/2017","50.45","50.45","50.45","50.45","","1.22%"
"08/17/2017","49.84","49.84","49.84","49.84","","0.54%"
"08/16/2017","49.57","49.57","49.57","49.57","","-0.66%"
"08/15/2017","49.90","49.90","49.90","49.90","","0.10%"
"08/14/2017","49.85","49.85","49.85","49.85","","-1.54%"
"08/11/2017","50.63","50.63","50.63","50.63","","0.08%"
"08/10/2017","50.59","50.59","50.59","50.59","","-0.14%"
"08/09/2017","50.66","50.66","50.66","50.66","","-0.28%"
"08/08/2017","50.80","50.80","50.80","50.80","","-0.39%"
"08/07/2017","51.00","51.00","51.00","51.00","","-0.20%"
"08/04/2017","51.10","51.10","51.10","51.10","","0.91%"
"08/03/2017","50.64","50.64","50.64","50.64","","-0.76%"
"08/02/2017","51.03","51.03","51.03","51.03","","1.21%"
"08/01/2017","50.42","50.42","50.42","50.42","","5.99%"
"07/31/2017","47.57","47.57","47.57","47.57","","0.02%"
"07/28/2017","47.56","47.56","47.56","47.56","","0.00%"
"07/27/2017","47.56","47.56","47.56","47.56","","0.08%"
"07/26/2017","47.52","47.52","47.52","47.52","","0.23%"
"07/25/2017","47.41","47.41","47.41","47.41","","0.64%"
"07/24/2017","47.11","47.11","47.11","47.11","","0.23%"
"07/21/2017","47.00","47.00","47.00","47.00","","-0.68%"
"07/20/2017","47.32","47.32","47.32","47.32","0.10K","-0.29%"
"07/19/2017","47.46","47.46","47.46","47.46","","0.68%"
"07/18/2017","47.14","47.14","47.14","47.14","","0.34%"
"07/17/2017","46.98","46.98","46.98","46.98","","-0.53%"
"07/14/2017","47.23","47.23","47.23","47.23","","0.60%"
"07/13/2017","46.95","46.95","46.95","46.95","","0.79%"
"07/12/2017","46.58","46.58","46.58","46.58","","0.32%"
"07/11/2017","46.43","46.43","46.43","46.43","","0.87%"
"07/10/2017","46.03","46.03","46.03","46.03","","0.33%"
