Date,Total Compound Score,Avg Classification,Scaled Total Compound Score
20161203,0.49,0.33,0.03
20161204,-0.18,0.0,-0.03
20161205,2.62,0.14,0.21
20161206,-3.42,-0.29,-0.31
20161207,4.55,0.16,0.38
20161208,-1.4,-0.17,-0.14
20161209,1.06,0.14,0.07
20161210,-1.04,-0.33,-0.11
20161211,-0.68,0.0,-0.08
20161212,5.14,0.45,0.43
20161213,-0.18,-0.07,-0.03
20161214,-7.07,-0.5,-0.63
20161215,1.88,0.27,0.15
20161216,4.34,0.45,0.36
20161217,4.34,0.45,0.36
20161218,1.02,0.33,0.07
20161219,-2.69,-0.27,-0.25
20161220,-3.6,-0.45,-0.33
20161221,-3.31,-0.45,-0.3
20161222,3.07,0.43,0.25
20161223,1.7,0.33,0.13
20161224,-0.1,0.0,-0.03
20161225,-0.66,0.0,-0.07
20161226,1.94,1.0,0.15
20161227,6.09,0.6,0.51
20161228,2.29,0.33,0.18
20161229,-1.46,-0.11,-0.14
20161230,0.58,0.14,0.03
20161231,0.58,0.14,0.03
20170101,0.4,0.33,0.02
20170102,4.84,1.0,0.4
20170103,1.8,0.14,0.14
20170104,9.12,0.6,0.77
20170105,-0.37,0.0,-0.05
20170106,1.28,0.2,0.09
20170107,-0.94,-1.0,-0.1
20170108,-0.43,0.0,-0.05
20170109,-0.51,0.0,-0.06
20170110,3.89,0.33,0.32
20170111,-1.77,-0.08,-0.17
20170112,6.49,0.67,0.54
20170113,-3.26,-0.43,-0.3
20170114,-3.26,-0.43,-0.3
20170115,1.38,0.33,0.1
20170116,3.21,0.33,0.26
20170117,11.62,0.87,0.99
20170118,-2.09,-0.23,-0.2
20170119,6.66,0.38,0.56
20170120,3.61,0.67,0.3
20170121,3.61,0.67,0.3
20170122,1.59,0.33,0.12
20170123,2.71,0.23,0.22
20170124,3.17,0.29,0.26
20170125,-2.97,-0.23,-0.27
20170126,2.82,0.14,0.23
20170127,-4.02,-0.4,-0.36
20170128,-4.02,-0.4,-0.36
20170129,-0.8,-0.5,-0.09
20170130,-4.12,-0.45,-0.37
20170131,4.45,0.38,0.37
20170201,-0.03,0.0,-0.02
20170202,3.69,0.4,0.3
20170203,3.64,0.33,0.3
20170204,3.64,0.33,0.3
20170205,1.87,0.33,0.14
20170206,0.67,0.09,0.04
20170207,-3.42,-0.4,-0.31
20170208,-1.71,-0.07,-0.16
20170209,1.53,0.09,0.12
20170210,3.71,0.56,0.3
20170211,-0.29,-1.0,-0.04
20170212,-1.55,-0.2,-0.15
20170213,-1.91,0.0,-0.18
20170214,1.5,0.14,0.11
20170215,-6.79,-0.57,-0.6
20170216,4.03,0.33,0.33
20170217,-2.77,-0.43,-0.26
20170218,-2.0,-1.0,-0.19
20170219,-0.55,0.0,-0.06
20170220,0.22,0.0,0.0
